requirement_id,user_story_id,title,description,acceptance_criteria,priority,status,created_at
REQ_001,US_001,Notification system - Requirement 1,"As a user, I want notification system so that I can achieve my goals.","[""Criterion 1 for requirement 1"", ""Criterion 2 for requirement 1"", ""Criterion 3 for requirement 1""]",low,pending,2025-07-14T13:44:35.051406
REQ_002,US_002,Data export - Requirement 2,"As a user, I want data export so that I can achieve my goals.","[""Criterion 1 for requirement 2"", ""Criterion 2 for requirement 2"", ""Criterion 3 for requirement 2""]",critical,approved,2025-06-07T13:44:35.051423
REQ_003,US_003,User authentication - Requirement 3,"As a user, I want user authentication so that I can achieve my goals.","[""Criterion 1 for requirement 3"", ""Criterion 2 for requirement 3"", ""Criterion 3 for requirement 3""]",critical,approved,2025-12-08T13:44:35.051430
REQ_004,US_004,Search functionality - Requirement 4,"As a user, I want search functionality so that I can achieve my goals.","[""Criterion 1 for requirement 4"", ""Criterion 2 for requirement 4"", ""Criterion 3 for requirement 4""]",critical,pending,2025-05-03T13:44:35.051436
REQ_005,US_005,User authentication - Requirement 5,"As a user, I want user authentication so that I can achieve my goals.","[""Criterion 1 for requirement 5"", ""Criterion 2 for requirement 5"", ""Criterion 3 for requirement 5""]",low,in_progress,2026-03-03T13:44:35.051441
REQ_006,US_006,User profile management - Requirement 6,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 6"", ""Criterion 2 for requirement 6"", ""Criterion 3 for requirement 6""]",critical,approved,2025-11-30T13:44:35.051446
REQ_007,US_007,Search functionality - Requirement 7,"As a user, I want search functionality so that I can achieve my goals.","[""Criterion 1 for requirement 7"", ""Criterion 2 for requirement 7"", ""Criterion 3 for requirement 7""]",low,pending,2025-07-05T13:44:35.051450
REQ_008,US_008,Dashboard analytics - Requirement 8,"As a user, I want dashboard analytics so that I can achieve my goals.","[""Criterion 1 for requirement 8"", ""Criterion 2 for requirement 8"", ""Criterion 3 for requirement 8""]",high,pending,2026-02-05T13:44:35.051454
REQ_009,US_009,User authentication - Requirement 9,"As a user, I want user authentication so that I can achieve my goals.","[""Criterion 1 for requirement 9"", ""Criterion 2 for requirement 9"", ""Criterion 3 for requirement 9""]",high,approved,2025-07-27T13:44:35.051459
REQ_010,US_010,File upload - Requirement 10,"As a user, I want file upload so that I can achieve my goals.","[""Criterion 1 for requirement 10"", ""Criterion 2 for requirement 10"", ""Criterion 3 for requirement 10""]",medium,approved,2025-06-22T13:44:35.051464
REQ_011,US_011,Notification system - Requirement 11,"As a user, I want notification system so that I can achieve my goals.","[""Criterion 1 for requirement 11"", ""Criterion 2 for requirement 11"", ""Criterion 3 for requirement 11""]",medium,pending,2025-11-05T13:44:35.051468
REQ_012,US_012,API integration - Requirement 12,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 12"", ""Criterion 2 for requirement 12"", ""Criterion 3 for requirement 12""]",critical,pending,2026-01-08T13:44:35.051473
REQ_013,US_013,API integration - Requirement 13,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 13"", ""Criterion 2 for requirement 13"", ""Criterion 3 for requirement 13""]",high,approved,2026-02-21T13:44:35.051478
REQ_014,US_014,Data export - Requirement 14,"As a user, I want data export so that I can achieve my goals.","[""Criterion 1 for requirement 14"", ""Criterion 2 for requirement 14"", ""Criterion 3 for requirement 14""]",critical,pending,2026-03-11T13:44:35.051482
REQ_015,US_015,API integration - Requirement 15,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 15"", ""Criterion 2 for requirement 15"", ""Criterion 3 for requirement 15""]",low,in_progress,2025-06-17T13:44:35.051487
REQ_016,US_016,API integration - Requirement 16,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 16"", ""Criterion 2 for requirement 16"", ""Criterion 3 for requirement 16""]",low,in_progress,2025-09-07T13:44:35.051491
REQ_017,US_017,Search functionality - Requirement 17,"As a user, I want search functionality so that I can achieve my goals.","[""Criterion 1 for requirement 17"", ""Criterion 2 for requirement 17"", ""Criterion 3 for requirement 17""]",low,in_progress,2026-02-17T13:44:35.051495
REQ_018,US_018,API integration - Requirement 18,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 18"", ""Criterion 2 for requirement 18"", ""Criterion 3 for requirement 18""]",high,approved,2025-11-09T13:44:35.051500
REQ_019,US_019,Notification system - Requirement 19,"As a user, I want notification system so that I can achieve my goals.","[""Criterion 1 for requirement 19"", ""Criterion 2 for requirement 19"", ""Criterion 3 for requirement 19""]",critical,pending,2025-09-18T13:44:35.051504
REQ_020,US_020,Data export - Requirement 20,"As a user, I want data export so that I can achieve my goals.","[""Criterion 1 for requirement 20"", ""Criterion 2 for requirement 20"", ""Criterion 3 for requirement 20""]",medium,in_progress,2025-08-14T13:44:35.051509
REQ_021,US_021,API integration - Requirement 21,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 21"", ""Criterion 2 for requirement 21"", ""Criterion 3 for requirement 21""]",medium,approved,2025-05-06T13:44:35.051513
REQ_022,US_022,Notification system - Requirement 22,"As a user, I want notification system so that I can achieve my goals.","[""Criterion 1 for requirement 22"", ""Criterion 2 for requirement 22"", ""Criterion 3 for requirement 22""]",low,approved,2025-04-11T13:44:35.051517
REQ_023,US_023,Notification system - Requirement 23,"As a user, I want notification system so that I can achieve my goals.","[""Criterion 1 for requirement 23"", ""Criterion 2 for requirement 23"", ""Criterion 3 for requirement 23""]",high,approved,2026-03-11T13:44:35.051522
REQ_024,US_024,Payment processing - Requirement 24,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 24"", ""Criterion 2 for requirement 24"", ""Criterion 3 for requirement 24""]",critical,in_progress,2025-10-01T13:44:35.051526
REQ_025,US_025,Report generation - Requirement 25,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 25"", ""Criterion 2 for requirement 25"", ""Criterion 3 for requirement 25""]",high,approved,2026-03-22T13:44:35.051530
REQ_026,US_026,Payment processing - Requirement 26,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 26"", ""Criterion 2 for requirement 26"", ""Criterion 3 for requirement 26""]",medium,in_progress,2026-02-23T13:44:35.051534
REQ_027,US_027,Report generation - Requirement 27,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 27"", ""Criterion 2 for requirement 27"", ""Criterion 3 for requirement 27""]",critical,pending,2025-06-07T13:44:35.051539
REQ_028,US_028,User profile management - Requirement 28,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 28"", ""Criterion 2 for requirement 28"", ""Criterion 3 for requirement 28""]",critical,approved,2026-03-23T13:44:35.051543
REQ_029,US_029,File upload - Requirement 29,"As a user, I want file upload so that I can achieve my goals.","[""Criterion 1 for requirement 29"", ""Criterion 2 for requirement 29"", ""Criterion 3 for requirement 29""]",critical,pending,2025-12-20T13:44:35.051548
REQ_030,US_030,Report generation - Requirement 30,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 30"", ""Criterion 2 for requirement 30"", ""Criterion 3 for requirement 30""]",critical,in_progress,2025-09-23T13:44:35.051552
REQ_031,US_031,User profile management - Requirement 31,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 31"", ""Criterion 2 for requirement 31"", ""Criterion 3 for requirement 31""]",high,pending,2025-04-04T13:44:35.051556
REQ_032,US_032,Payment processing - Requirement 32,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 32"", ""Criterion 2 for requirement 32"", ""Criterion 3 for requirement 32""]",critical,pending,2025-08-30T13:44:35.051560
REQ_033,US_033,Search functionality - Requirement 33,"As a user, I want search functionality so that I can achieve my goals.","[""Criterion 1 for requirement 33"", ""Criterion 2 for requirement 33"", ""Criterion 3 for requirement 33""]",medium,pending,2025-11-02T13:44:35.051565
REQ_034,US_034,File upload - Requirement 34,"As a user, I want file upload so that I can achieve my goals.","[""Criterion 1 for requirement 34"", ""Criterion 2 for requirement 34"", ""Criterion 3 for requirement 34""]",medium,pending,2025-07-29T13:44:35.051569
REQ_035,US_035,API integration - Requirement 35,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 35"", ""Criterion 2 for requirement 35"", ""Criterion 3 for requirement 35""]",medium,pending,2025-06-30T13:44:35.051573
REQ_036,US_036,Report generation - Requirement 36,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 36"", ""Criterion 2 for requirement 36"", ""Criterion 3 for requirement 36""]",medium,in_progress,2025-10-14T13:44:35.051577
REQ_037,US_037,User profile management - Requirement 37,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 37"", ""Criterion 2 for requirement 37"", ""Criterion 3 for requirement 37""]",medium,pending,2026-03-14T13:44:35.051581
REQ_038,US_038,API integration - Requirement 38,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 38"", ""Criterion 2 for requirement 38"", ""Criterion 3 for requirement 38""]",medium,approved,2025-06-30T13:44:35.051586
REQ_039,US_039,Search functionality - Requirement 39,"As a user, I want search functionality so that I can achieve my goals.","[""Criterion 1 for requirement 39"", ""Criterion 2 for requirement 39"", ""Criterion 3 for requirement 39""]",high,in_progress,2025-10-20T13:44:35.051590
REQ_040,US_040,Payment processing - Requirement 40,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 40"", ""Criterion 2 for requirement 40"", ""Criterion 3 for requirement 40""]",medium,approved,2025-07-14T13:44:35.051594
REQ_041,US_041,Data export - Requirement 41,"As a user, I want data export so that I can achieve my goals.","[""Criterion 1 for requirement 41"", ""Criterion 2 for requirement 41"", ""Criterion 3 for requirement 41""]",critical,in_progress,2025-07-24T13:44:35.051598
REQ_042,US_042,Dashboard analytics - Requirement 42,"As a user, I want dashboard analytics so that I can achieve my goals.","[""Criterion 1 for requirement 42"", ""Criterion 2 for requirement 42"", ""Criterion 3 for requirement 42""]",low,approved,2025-07-07T13:44:35.051602
REQ_043,US_043,Report generation - Requirement 43,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 43"", ""Criterion 2 for requirement 43"", ""Criterion 3 for requirement 43""]",high,approved,2025-11-29T13:44:35.051607
REQ_044,US_044,User profile management - Requirement 44,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 44"", ""Criterion 2 for requirement 44"", ""Criterion 3 for requirement 44""]",low,approved,2025-05-01T13:44:35.051611
REQ_045,US_045,Search functionality - Requirement 45,"As a user, I want search functionality so that I can achieve my goals.","[""Criterion 1 for requirement 45"", ""Criterion 2 for requirement 45"", ""Criterion 3 for requirement 45""]",critical,in_progress,2025-10-21T13:44:35.051616
REQ_046,US_046,Data export - Requirement 46,"As a user, I want data export so that I can achieve my goals.","[""Criterion 1 for requirement 46"", ""Criterion 2 for requirement 46"", ""Criterion 3 for requirement 46""]",low,in_progress,2025-06-12T13:44:35.051620
REQ_047,US_047,Dashboard analytics - Requirement 47,"As a user, I want dashboard analytics so that I can achieve my goals.","[""Criterion 1 for requirement 47"", ""Criterion 2 for requirement 47"", ""Criterion 3 for requirement 47""]",low,in_progress,2025-10-29T13:44:35.051624
REQ_048,US_048,API integration - Requirement 48,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 48"", ""Criterion 2 for requirement 48"", ""Criterion 3 for requirement 48""]",medium,approved,2025-08-24T13:44:35.051628
REQ_049,US_049,Report generation - Requirement 49,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 49"", ""Criterion 2 for requirement 49"", ""Criterion 3 for requirement 49""]",high,pending,2025-05-01T13:44:35.051632
REQ_050,US_050,Report generation - Requirement 50,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 50"", ""Criterion 2 for requirement 50"", ""Criterion 3 for requirement 50""]",medium,approved,2025-11-20T13:44:35.051636
REQ_051,US_051,User authentication - Requirement 51,"As a user, I want user authentication so that I can achieve my goals.","[""Criterion 1 for requirement 51"", ""Criterion 2 for requirement 51"", ""Criterion 3 for requirement 51""]",low,in_progress,2026-01-25T13:44:35.051640
REQ_052,US_052,User profile management - Requirement 52,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 52"", ""Criterion 2 for requirement 52"", ""Criterion 3 for requirement 52""]",medium,in_progress,2025-12-31T13:44:35.051644
REQ_053,US_053,API integration - Requirement 53,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 53"", ""Criterion 2 for requirement 53"", ""Criterion 3 for requirement 53""]",high,pending,2025-05-24T13:44:35.051648
REQ_054,US_054,Report generation - Requirement 54,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 54"", ""Criterion 2 for requirement 54"", ""Criterion 3 for requirement 54""]",high,approved,2025-10-21T13:44:35.051653
REQ_055,US_055,Payment processing - Requirement 55,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 55"", ""Criterion 2 for requirement 55"", ""Criterion 3 for requirement 55""]",low,approved,2026-02-20T13:44:35.051657
REQ_056,US_056,Notification system - Requirement 56,"As a user, I want notification system so that I can achieve my goals.","[""Criterion 1 for requirement 56"", ""Criterion 2 for requirement 56"", ""Criterion 3 for requirement 56""]",low,pending,2025-07-02T13:44:35.051661
REQ_057,US_057,Data export - Requirement 57,"As a user, I want data export so that I can achieve my goals.","[""Criterion 1 for requirement 57"", ""Criterion 2 for requirement 57"", ""Criterion 3 for requirement 57""]",medium,pending,2025-10-29T13:44:35.051665
REQ_058,US_058,Payment processing - Requirement 58,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 58"", ""Criterion 2 for requirement 58"", ""Criterion 3 for requirement 58""]",critical,approved,2025-09-05T13:44:35.051669
REQ_059,US_059,Payment processing - Requirement 59,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 59"", ""Criterion 2 for requirement 59"", ""Criterion 3 for requirement 59""]",medium,approved,2025-12-28T13:44:35.051673
REQ_060,US_060,File upload - Requirement 60,"As a user, I want file upload so that I can achieve my goals.","[""Criterion 1 for requirement 60"", ""Criterion 2 for requirement 60"", ""Criterion 3 for requirement 60""]",critical,approved,2025-07-26T13:44:35.051678
REQ_061,US_061,Report generation - Requirement 61,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 61"", ""Criterion 2 for requirement 61"", ""Criterion 3 for requirement 61""]",high,pending,2025-04-21T13:44:35.051682
REQ_062,US_062,User authentication - Requirement 62,"As a user, I want user authentication so that I can achieve my goals.","[""Criterion 1 for requirement 62"", ""Criterion 2 for requirement 62"", ""Criterion 3 for requirement 62""]",low,pending,2025-05-16T13:44:35.051686
REQ_063,US_063,User profile management - Requirement 63,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 63"", ""Criterion 2 for requirement 63"", ""Criterion 3 for requirement 63""]",high,approved,2025-10-02T13:44:35.051690
REQ_064,US_064,API integration - Requirement 64,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 64"", ""Criterion 2 for requirement 64"", ""Criterion 3 for requirement 64""]",critical,approved,2026-01-12T13:44:35.051694
REQ_065,US_065,User profile management - Requirement 65,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 65"", ""Criterion 2 for requirement 65"", ""Criterion 3 for requirement 65""]",critical,in_progress,2025-07-03T13:44:35.051698
REQ_066,US_066,User authentication - Requirement 66,"As a user, I want user authentication so that I can achieve my goals.","[""Criterion 1 for requirement 66"", ""Criterion 2 for requirement 66"", ""Criterion 3 for requirement 66""]",critical,approved,2025-09-23T13:44:35.051702
REQ_067,US_067,Dashboard analytics - Requirement 67,"As a user, I want dashboard analytics so that I can achieve my goals.","[""Criterion 1 for requirement 67"", ""Criterion 2 for requirement 67"", ""Criterion 3 for requirement 67""]",critical,pending,2025-05-15T13:44:35.051706
REQ_068,US_068,Payment processing - Requirement 68,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 68"", ""Criterion 2 for requirement 68"", ""Criterion 3 for requirement 68""]",medium,in_progress,2025-06-29T13:44:35.051711
REQ_069,US_069,File upload - Requirement 69,"As a user, I want file upload so that I can achieve my goals.","[""Criterion 1 for requirement 69"", ""Criterion 2 for requirement 69"", ""Criterion 3 for requirement 69""]",critical,pending,2025-05-29T13:44:35.051715
REQ_070,US_070,API integration - Requirement 70,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 70"", ""Criterion 2 for requirement 70"", ""Criterion 3 for requirement 70""]",critical,pending,2025-11-12T13:44:35.051719
REQ_071,US_071,Dashboard analytics - Requirement 71,"As a user, I want dashboard analytics so that I can achieve my goals.","[""Criterion 1 for requirement 71"", ""Criterion 2 for requirement 71"", ""Criterion 3 for requirement 71""]",high,approved,2025-12-21T13:44:35.051723
REQ_072,US_072,Report generation - Requirement 72,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 72"", ""Criterion 2 for requirement 72"", ""Criterion 3 for requirement 72""]",medium,pending,2025-08-26T13:44:35.051728
REQ_073,US_073,Payment processing - Requirement 73,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 73"", ""Criterion 2 for requirement 73"", ""Criterion 3 for requirement 73""]",critical,in_progress,2025-09-12T13:44:35.051732
REQ_074,US_074,User profile management - Requirement 74,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 74"", ""Criterion 2 for requirement 74"", ""Criterion 3 for requirement 74""]",low,pending,2025-05-26T13:44:35.051736
REQ_075,US_075,User authentication - Requirement 75,"As a user, I want user authentication so that I can achieve my goals.","[""Criterion 1 for requirement 75"", ""Criterion 2 for requirement 75"", ""Criterion 3 for requirement 75""]",medium,in_progress,2026-01-24T13:44:35.051740
REQ_076,US_076,Data export - Requirement 76,"As a user, I want data export so that I can achieve my goals.","[""Criterion 1 for requirement 76"", ""Criterion 2 for requirement 76"", ""Criterion 3 for requirement 76""]",high,approved,2026-01-24T13:44:35.051744
REQ_077,US_077,API integration - Requirement 77,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 77"", ""Criterion 2 for requirement 77"", ""Criterion 3 for requirement 77""]",critical,approved,2026-01-31T13:44:35.051748
REQ_078,US_078,API integration - Requirement 78,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 78"", ""Criterion 2 for requirement 78"", ""Criterion 3 for requirement 78""]",critical,in_progress,2025-10-05T13:44:35.051756
REQ_079,US_079,Notification system - Requirement 79,"As a user, I want notification system so that I can achieve my goals.","[""Criterion 1 for requirement 79"", ""Criterion 2 for requirement 79"", ""Criterion 3 for requirement 79""]",medium,in_progress,2025-06-07T13:44:35.051763
REQ_080,US_080,API integration - Requirement 80,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 80"", ""Criterion 2 for requirement 80"", ""Criterion 3 for requirement 80""]",critical,approved,2025-12-14T13:44:35.051772
REQ_081,US_081,File upload - Requirement 81,"As a user, I want file upload so that I can achieve my goals.","[""Criterion 1 for requirement 81"", ""Criterion 2 for requirement 81"", ""Criterion 3 for requirement 81""]",medium,pending,2025-12-29T13:44:35.051779
REQ_082,US_082,Payment processing - Requirement 82,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 82"", ""Criterion 2 for requirement 82"", ""Criterion 3 for requirement 82""]",medium,pending,2025-06-16T13:44:35.051786
REQ_083,US_083,Notification system - Requirement 83,"As a user, I want notification system so that I can achieve my goals.","[""Criterion 1 for requirement 83"", ""Criterion 2 for requirement 83"", ""Criterion 3 for requirement 83""]",high,pending,2025-07-30T13:44:35.051795
REQ_084,US_084,Payment processing - Requirement 84,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 84"", ""Criterion 2 for requirement 84"", ""Criterion 3 for requirement 84""]",low,in_progress,2026-03-11T13:44:35.051803
REQ_085,US_085,Search functionality - Requirement 85,"As a user, I want search functionality so that I can achieve my goals.","[""Criterion 1 for requirement 85"", ""Criterion 2 for requirement 85"", ""Criterion 3 for requirement 85""]",medium,pending,2025-03-28T13:44:35.051811
REQ_086,US_086,User profile management - Requirement 86,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 86"", ""Criterion 2 for requirement 86"", ""Criterion 3 for requirement 86""]",low,approved,2025-05-07T13:44:35.051819
REQ_087,US_087,Report generation - Requirement 87,"As a user, I want report generation so that I can achieve my goals.","[""Criterion 1 for requirement 87"", ""Criterion 2 for requirement 87"", ""Criterion 3 for requirement 87""]",high,in_progress,2025-04-08T13:44:35.051827
REQ_088,US_088,User profile management - Requirement 88,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 88"", ""Criterion 2 for requirement 88"", ""Criterion 3 for requirement 88""]",high,in_progress,2025-11-07T13:44:35.051834
REQ_089,US_089,User authentication - Requirement 89,"As a user, I want user authentication so that I can achieve my goals.","[""Criterion 1 for requirement 89"", ""Criterion 2 for requirement 89"", ""Criterion 3 for requirement 89""]",critical,pending,2025-08-09T13:44:35.051842
REQ_090,US_090,Payment processing - Requirement 90,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 90"", ""Criterion 2 for requirement 90"", ""Criterion 3 for requirement 90""]",high,pending,2026-03-17T13:44:35.051849
REQ_091,US_091,Search functionality - Requirement 91,"As a user, I want search functionality so that I can achieve my goals.","[""Criterion 1 for requirement 91"", ""Criterion 2 for requirement 91"", ""Criterion 3 for requirement 91""]",high,pending,2025-05-07T13:44:35.051857
REQ_092,US_092,Payment processing - Requirement 92,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 92"", ""Criterion 2 for requirement 92"", ""Criterion 3 for requirement 92""]",critical,approved,2025-10-23T13:44:35.051865
REQ_093,US_093,Dashboard analytics - Requirement 93,"As a user, I want dashboard analytics so that I can achieve my goals.","[""Criterion 1 for requirement 93"", ""Criterion 2 for requirement 93"", ""Criterion 3 for requirement 93""]",medium,in_progress,2025-05-03T13:44:35.051872
REQ_094,US_094,Payment processing - Requirement 94,"As a user, I want payment processing so that I can achieve my goals.","[""Criterion 1 for requirement 94"", ""Criterion 2 for requirement 94"", ""Criterion 3 for requirement 94""]",critical,approved,2025-09-21T13:44:35.051881
REQ_095,US_095,Notification system - Requirement 95,"As a user, I want notification system so that I can achieve my goals.","[""Criterion 1 for requirement 95"", ""Criterion 2 for requirement 95"", ""Criterion 3 for requirement 95""]",critical,approved,2026-01-17T13:44:35.051888
REQ_096,US_096,User authentication - Requirement 96,"As a user, I want user authentication so that I can achieve my goals.","[""Criterion 1 for requirement 96"", ""Criterion 2 for requirement 96"", ""Criterion 3 for requirement 96""]",low,approved,2026-03-25T13:44:35.051896
REQ_097,US_097,File upload - Requirement 97,"As a user, I want file upload so that I can achieve my goals.","[""Criterion 1 for requirement 97"", ""Criterion 2 for requirement 97"", ""Criterion 3 for requirement 97""]",critical,in_progress,2025-06-01T13:44:35.051903
REQ_098,US_098,API integration - Requirement 98,"As a user, I want api integration so that I can achieve my goals.","[""Criterion 1 for requirement 98"", ""Criterion 2 for requirement 98"", ""Criterion 3 for requirement 98""]",low,in_progress,2025-04-29T13:44:35.051911
REQ_099,US_099,File upload - Requirement 99,"As a user, I want file upload so that I can achieve my goals.","[""Criterion 1 for requirement 99"", ""Criterion 2 for requirement 99"", ""Criterion 3 for requirement 99""]",medium,pending,2025-04-26T13:44:35.051919
REQ_100,US_100,User profile management - Requirement 100,"As a user, I want user profile management so that I can achieve my goals.","[""Criterion 1 for requirement 100"", ""Criterion 2 for requirement 100"", ""Criterion 3 for requirement 100""]",medium,in_progress,2025-11-25T13:44:35.051928
